id,ollama_tag,backend,gpu_config,ok,error,load_time_s,decode_tok_per_s,prompt_tok_per_s,ttft_s,n_generated,peak_vram_mib,gguf_size_gb,bandwidth_gb_s,bandwidth_pct
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,chat,0,True,,,5.032995361722019,163.19962642531448,1.0551964999999999,256,"{0: 16040.5625, 1: 261.0}",0.0,0.0,22.523238624,113.35935552555024,16.868951715111642
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,chat,0,True,,,17.716484812645916,324.6298887688293,0.493481,256,"{0: 13989.375, 1: 12234.09765625}",0.0,0.0,22.523238624,399.03261501369593,29.689926712328568
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,chat,0,True,,8.1507678,78.60516933061032,7722.182132934522,0.06928100000000001,256,"{0: 11802.859375, 1: 9474.09765625}",0.0,0.0,16.947539744,1332.1642313143684,99.11936244898575
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,chat,0,True,,,59.108605745248894,840.9374615561761,0.7628725000000001,256,"{0: 16027.484375, 1: 261.0}",0.0,0.0,16.947539744,1001.7454450800324,149.0692626607191
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,chat,0,True,,,86.14007956941279,2282.0939435920727,0.24386449999999998,256,"{0: 11739.390625, 1: 9770.09765625}",0.0,0.0,16.947539744,1459.8624220539457,108.62071592663287
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,ollama,auto,chat,0,True,,8.5908439,93.53831231065136,11214.96658041373,0.0480615,256,"{0: 13353.859375, 1: 11238.09765625}",0.0,0.0,22.134528992,2070.426485702863,154.04958971003444
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single0,chat,0,True,,,64.30837086437064,189.51887535441676,0.908471,256,"{0: 16053.234375, 1: 261.0}",0.0,0.0,22.134528992,1423.4354993257002,211.8207588282292
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,chat,0,True,,,102.30432273456024,892.403510729403,0.18068950000000003,256,"{0: 13368.0625, 1: 11182.09765625}",0.0,0.0,22.134528992,2264.4579975750485,168.48645815290539
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single0,rag,0,True,,,65.25476067803152,217.2357390681521,3.022796,512,"{0: 16039.4921875, 1: 261.0}",0.0,0.0,22.134528992,1444.38339209391,214.93800477587945
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,single1,rag,0,True,,,61.45239541625349,366.25505726320273,1.5433484999999998,512,"{0: 1954.51953125, 1: 14274.09765625}",0.0,0.0,22.134528992,1360.2198279689107,101.20683243816299
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual,rag,0,True,,,101.6509642158106,1497.5678003121025,0.371402,512,"{0: 13426.8046875, 1: 11208.09765625}",0.0,0.0,22.134528992,2249.9962144996143,167.4104326264594
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual_21,rag,0,True,,,101.13685168902848,1407.6551855627815,0.395832,512,"{0: 16142.1640625, 1: 7622.09765625}",0.0,0.0,22.134528992,2238.616575870405,166.56373332369085
qwen3.6-35b-a3b-q4,eval/qwen3.6-35b-a3b-q4,llamacpp,dual_tensor,rag,0,True,,,118.43423040625663,1115.1694177167271,0.502442,512,"{0: 12522.5859375, 1: 11594.09765625}",0.0,0.0,22.134528992,2621.4859065724954,195.05103471521542
qwen3.6-27b-q4,eval/qwen3.6-27b-q4,llamacpp,single0,rag,0,True,,,9.852075894083526,329.38769414792336,1.70666,512,"{0: 15728.6953125, 1: 261.0}",0.0,0.0,16.817244384,165.68476800051795,24.655471428648504
